artefact,reviewer,data_ink_ratio,chartjunk_absence,chart_type_appropriateness,alert_by_exception,var_risk_metrics,greeks_sensitivity,message_driven_structure,labelling_economy,data_formatting,semantic_colour,completeness,overall
artefact-001,1,8.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,10.0,8.4
artefact-001,2,8.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,10.0,8.4
artefact-001,3,8.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,10.0,8.4
artefact-002,1,7.0,8.0,7.0,8.0,7.0,5.0,9.0,8.0,8.0,7.0,8.0,7.5
artefact-002,2,8.0,9.0,8.0,8.0,7.0,5.0,9.0,8.0,8.0,7.0,9.0,7.8
artefact-002,3,8.0,9.0,8.0,8.0,7.0,5.0,9.0,8.0,9.0,7.0,9.0,7.9
artefact-003,1,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,8.0,9.0,8.1
artefact-003,2,8.0,9.0,8.0,8.0,8.0,6.0,9.0,8.0,9.0,8.0,9.0,8.2
artefact-003,3,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,8.0,9.0,8.1
artefact-004,1,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,9.0,8.0,10.0,7.7
artefact-004,2,8.0,9.0,8.0,8.0,7.0,4.0,5.0,7.0,9.0,8.0,9.0,7.5
artefact-004,3,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,9.0,8.0,10.0,7.7
artefact-005,1,8.0,9.0,8.0,7.0,6.0,5.0,6.0,8.0,8.0,7.0,9.0,7.4
artefact-005,2,8.0,9.0,8.0,7.0,6.0,5.0,6.0,7.0,8.0,7.0,9.0,7.3
artefact-005,3,8.0,9.0,8.0,8.0,7.0,5.0,6.0,8.0,9.0,7.0,10.0,7.7
artefact-006,1,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,7.5
artefact-006,2,8.0,9.0,8.0,8.0,7.0,5.0,6.0,8.0,9.0,8.0,9.0,7.7
artefact-006,3,8.0,9.0,8.0,8.0,7.0,5.0,6.0,8.0,9.0,8.0,9.0,7.7
artefact-007,1,5.0,6.0,6.0,8.0,7.0,5.0,5.0,7.0,8.0,7.0,10.0,6.7
artefact-007,2,5.0,6.0,6.0,8.0,7.0,5.0,5.0,7.0,8.0,8.0,10.0,6.8
artefact-007,3,5.0,6.0,6.0,7.0,7.0,5.0,4.0,7.0,8.0,7.0,10.0,6.5
artefact-008,1,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,7.5
artefact-008,2,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,7.5
artefact-008,3,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,7.5
artefact-009,1,4.0,5.0,7.0,8.0,7.0,7.0,5.0,7.0,8.0,7.0,10.0,6.8
artefact-009,2,4.0,5.0,7.0,8.0,7.0,7.0,5.0,7.0,8.0,7.0,10.0,6.8
artefact-009,3,5.0,6.0,7.0,8.0,7.0,6.0,5.0,7.0,8.0,7.0,10.0,6.9
artefact-010,1,4.0,4.0,6.0,8.0,7.0,5.0,5.0,7.0,8.0,7.0,10.0,6.5
